Temperoculture,Unnamed: 0,NGA,Original_culture_name,Period_start,Period_end,Polity_population,Polity_territory,Population_of_the_largest_settlement,Administrative_levels,Military_levels,Religious_levels,Settlement_hierarchy,Largest_communication_distance,Occupational_complexity,Professional_lawyers,Professional_military_officers,Professional_priesthood,Professional_soldiers,Bureaucracy_examination_system,Bureaucracy_merit_promotion,Bureaucracy_source_of_support,Fulltime_bureaucrats,Courts,Formal_legal_code,Judges,Bridges,Burial_site,Canals,Ceremonial_site,Communal_buildings,Drinking_water_supply_systems,Enclosures,Entertainment_buildings,Food_storage_sites,Irrigation_systems,Knowledge/information_buildings,Markets,Mines_or_quarries,Monumental_building_cost,Monumental_building_extent,Monumental_building_height,Ports,Roads,Special_purpose_house,Special_purpose_sites,Specialized_government_buildings,Symbolic_buildings,Trading_emporia,Utilitarian_public_buildings,Other_polity-owned_site,Calendar,Fiction,Geometrical_measurements,History,Lists_tables_and_classifications,Measurement_of_area,Measurement_of_time,Measurement_of_length,Measurement_of_volume,Measurement_of_weight,Mnemonic_devices,Nonphonetic_writing,Phonetic_alphabetic_writing,Philosophy,Practical_literature,Religious_literature,Sacred_texts,Scientific_literature,Script,Nonwritten_records,Written_records,Articles,Debt_and_credit_structures,Foreign_coins,Indigenous_coins,Paper_currency,Precious_metals,Store_of_wealth,Tokens,Fastest_individual_communication,General_postal_service,Postal_stations,Couriers,Peak_date,UTM_zone,Region,Capital,Degree_of_centralization,Language,Linguistic_family,Preceding_(quasi)polity,Relationship_to_preceding_(quasi)polity,Succeeding_(quasi)polity,Supracultural_entity,Scale_of_supracultural_interaction,Suprapolity_relations,High_gods_(creator_gods),Supernatural_enforcement_of_fairness,Supernatural_enforcement_of_human_reciprocity,Supernatural_enforcement_of_ingroup_loyalty,Name_of_official_cult,Largest_scale_ritual_name,Largest_scale_collective_ritual_of_the_official_cult_frequency_for_the_audience,Largest_scale_ritual_frequency_for_ritual_specialist,Largest_scale_ritual_frequency_per_participant,Most_dysphoric_ritual_name,Most_dysphoric_ritual_frequency_for_audience,Most_dysphoric_ritual_frequency_for_ritual_specialist,Most_dysphoric_ritual_frequency_per_participant,Most_euphoric_ritual_name,Most_euphoric_ritual_frequency_for_audience,Most_euphoric_ritual_frequency_for_ritual_specialist,Most_euphoric_ritual_frequency_per_participant,Most_frequent_ritual_name,Most_frequent_ritual_frequency_for_audience,Most_frequent_ritual_frequency_for_ritual_specialist,Most_frequent_ritual_frequency_per_participant,Most_widespread_ritual_name,Most_widespread_ritual_frequency_for_audience,Most_widespread_ritual_frequency_for_ritual_specialist,Most_widespread_ritual_frequency_per_participant,Name_of_other_significant_religious_or_ideological_systems,CC_PolPop,CC_PolTerr,CC_CapPop,CC_Hier,CC_Govt,CC_Infra,CC_Writing,CC_Texts,CC_Money,BasePolity,Percent_CCs_imputed,CCs_imputed,CC_PolPop_Regression_x0,CC_PolPop_Regression_x1,CC_PolPop_Regression_x2,CC_PolTerr_Regression_x0,CC_PolTerr_Regression_x1,CC_PolTerr_Regression_x2,CC_CapPop_Regression_x0,CC_CapPop_Regression_x1,CC_CapPop_Regression_x2,CC_Hier_Regression_x0,CC_Hier_Regression_x1,CC_Hier_Regression_x2,CC_Govt_Regression_x0,CC_Govt_Regression_x1,CC_Govt_Regression_x2,CC_Infra_Regression_x0,CC_Infra_Regression_x1,CC_Infra_Regression_x2,CC_Writing_Regression_x0,CC_Writing_Regression_x1,CC_Writing_Regression_x2,CC_Texts_Regression_x0,CC_Texts_Regression_x1,CC_Texts_Regression_x2,CC_Money_Regression_x0,CC_Money_Regression_x1,CC_Money_Regression_x2
EasternJin+300,216,['Middle Yellow River Valley'],Shu Dynasty,300,400,,,,,,,,,,,1.0,0.1,0.1,0.0,,state salary,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,1.0,1.0,1.0,,['50S'],['East Asia'],,,,,,,,,,,,,,,,imperial sacrifice at the capital,yearly,yearly,yearly,blood covenant,not applicable,,,Lunar New Year,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,4.63719944791432,3.653673588859407,-0.17565553776394083,-3.2137400691822995,,,,,,EasternJin,0.4444444444444444,"[1, 1, 1, 1, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,51.890909090909005,4.432669439162718,0.0,60.08888888888882,5.242942347396763,0.0,354.0,31.457654084380582,0.0,51.555555555555536,7.864413521095146,0.0,286.0,39.32206760547574,0.0
EcJivaE+1600,217,['Lowland Andes'],Jivaro,1600,1700,,,300.0,2,3.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,['18M'],['South America'],Quito,quasi-polity,Shuar,Jebero-Jivaroan,Jivaro Tribes,elite migration,Republic of Ecuador,Amazonia,5500000,none,active,0.1,0.1,0.1,Jivaro Religion,napin,not applicable,once per generation,once per generation,Soul Pilgrimage,not applicable,once in a lifetime,once in a lifetime,napin,not applicable,once per generation,once per generation,Shamanistic Healing Ritual,yearly,monthly,yearly,Mortuary Ritual,not applicable,,once per generation,,2.4441836603841995,1.2412688249781567,,,,,,,,EcJivaE,0.2222222222222222,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,2.4771212547196626,4.37246075285606,2.4771212547196626,1.6666666666666667,2.94189659638529,1.6666666666666667,0.0,0.0,0.0,0.3333333333333333,0.19612643975901928,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.295413873493519,3.0
EcJivaE+1700,218,['Lowland Andes'],Jivaro,1700,1800,,,300.0,2,3.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,['18M'],['South America'],Quito,quasi-polity,Shuar,Jebero-Jivaroan,Jivaro Tribes,elite migration,Republic of Ecuador,Amazonia,5500000,none,active,0.1,0.1,0.1,Jivaro Religion,napin,not applicable,once per generation,once per generation,Soul Pilgrimage,not applicable,once in a lifetime,once in a lifetime,napin,not applicable,once per generation,once per generation,Shamanistic Healing Ritual,yearly,monthly,yearly,Mortuary Ritual,not applicable,,once per generation,,2.633364986287143,1.7395485240234785,,,,,,,,EcJivaE,0.2222222222222222,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,7.431363764158987,3.2073773145619606,2.4771212547196626,5.0,2.1580004803633392,1.6666666666666667,0.0,0.0,0.0,0.7777777777777777,0.14386669869088922,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.8844008646540087,3.0
EcJivaE+1800,219,['Lowland Andes'],Jivaro,1800,1900,,,300.0,2,3.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,['18M'],['South America'],Quito,quasi-polity,Shuar,Jebero-Jivaroan,Jivaro Tribes,elite migration,Republic of Ecuador,Amazonia,5500000,none,active,0.1,0.1,0.1,Jivaro Religion,napin,not applicable,once per generation,once per generation,Soul Pilgrimage,not applicable,once in a lifetime,once in a lifetime,napin,not applicable,once per generation,once per generation,Shamanistic Healing Ritual,yearly,monthly,yearly,Mortuary Ritual,not applicable,,once per generation,,2.6931598767289926,1.8742732073925894,,,,,,,,EcJivaE,0.2222222222222222,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,12.385606273598313,2.9247879435626363,2.4771212547196626,8.333333333333334,1.9678675653509987,1.6666666666666667,0.0,0.0,0.0,1.2222222222222219,0.13119117102339986,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.5421616176317974,3.0
EcJivaE+1900,220,['Lowland Andes'],Jivaro,1900,2000,,,300.0,2,3.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,['18M'],['South America'],Quito,quasi-polity,Shuar,Jebero-Jivaroan,Jivaro Tribes,elite migration,Republic of Ecuador,Amazonia,5500000,none,active,0.1,0.1,0.1,Jivaro Religion,napin,not applicable,once per generation,once per generation,Soul Pilgrimage,not applicable,once in a lifetime,once in a lifetime,napin,not applicable,once per generation,once per generation,Shamanistic Healing Ritual,yearly,monthly,yearly,Mortuary Ritual,not applicable,,once per generation,,1.6167193237918207,-0.574608703646029,,,,,,,,EcJivaE,0.2222222222222222,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,17.339848783037635,7.856381207147232,7.431363764158987,11.666666666666664,5.285961942166037,5.0,0.0,0.0,0.0,1.6666666666666663,0.3523974628110692,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.514731495898866,9.0
EcJivaL+1900,221,['Lowland Andes'],Jivaro,1900,2000,,,300.0,2,3.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,['18M'],['South America'],none,quasi-polity,Shuar,Jebero-Jivaroan,Gran Colombia,continuity,Republic of Ecuador,Amazonia,5500000,none,active,0.1,0.1,0.1,Jivaro Religion,napin,,once per generation,once per generation,Soul Pilgrimage,not applicable,once in a lifetime,once in a lifetime,napin,once per generation,once per generation,once per generation,Shamanistic Healing Ritual,yearly,monthly,yearly,Mortuary Ritual,not applicable,,once per generation,,1.5028004016533156,-0.5044955051628239,,,,,,,,EcJivaL,0.2222222222222222,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,19.8169700377573,7.856381207147232,7.431363764158987,13.333333333333332,5.285961942166037,5.0,0.0,0.0,0.0,1.7777777777777777,0.3523974628110692,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.686308661198487,12.0
EcJivaL+2000,222,['Lowland Andes'],Jivaro,2000,2100,,,300.0,2,3.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,['18M'],['South America'],none,quasi-polity,Shuar,Jebero-Jivaroan,Gran Colombia,continuity,Republic of Ecuador,Amazonia,5500000,none,active,0.1,0.1,0.1,Jivaro Religion,napin,,once per generation,once per generation,Soul Pilgrimage,not applicable,once in a lifetime,once in a lifetime,napin,once per generation,once per generation,once per generation,Shamanistic Healing Ritual,yearly,monthly,yearly,Mortuary Ritual,not applicable,,once per generation,,2.733771457184924,2.1064833709910835,,,,,,,,EcJivaL,0.2222222222222222,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,24.771212547196626,2.619219565456864,2.4771212547196626,16.666666666666664,1.7622738225312016,1.6666666666666667,0.0,0.0,0.0,2.2222222222222223,0.11748492150208012,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,34.0,4.229457174074884,4.0
Ecuadorian+1900,223,['Lowland Andes'],Jivaro,1900,2000,,,300.0,2,3.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,['18M'],['South America'],none,quasi-polity,Shuar,Jebero-Jivaroan,Gran Colombia,continuity,Republic of Ecuador,Amazonia,5500000,none,,,,,,,,,,Soul pilgrimage,,once in a lifetime,once in a lifetime,,,,,,,,,,,,,,1.4688685900962781,-0.7413555933566434,,,,,,,,Ecuadorian,0.2222222222222222,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,22.294091292476963,7.856381207147232,7.431363764158987,14.999999999999998,5.285961942166037,5.0,0.0,0.0,0.0,1.8888888888888888,1.0571923884332075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,19.029462991797725,18.0
Ecuadorian+2000,224,['Lowland Andes'],Jivaro,2000,2100,,,300.0,2,3.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,['18M'],['South America'],none,quasi-polity,Shuar,Jebero-Jivaroan,Gran Colombia,continuity,Republic of Ecuador,Amazonia,5500000,none,,,,,,,,,,Soul pilgrimage,,once in a lifetime,once in a lifetime,,,,,,,,,,,,,,2.9045165189846234,1.5308399780093258,,,,,,,,Ecuadorian,0.2222222222222222,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,27.24833380191629,2.619219565456864,2.4771212547196626,18.33333333333333,1.7622738225312016,1.6666666666666667,0.0,0.0,0.0,2.333333333333333,0.3524547645062403,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,38.0,6.3441857611123265,6.0
EgAyyub+1200,225,"['Upper Egypt', 'Yemeni Coastal Plain']",Sultanate of Egypt,1200,1300,9000000.0,1500000.0,200000.0,5,7.0,4.0,5.0,2260,,1.0,1.0,1.0,1.0,0.0,0.0,governed population,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,50.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,0.1,1.0,1.0,1.0,,0.1,,1.0,1192.0,"['36R', '38P']","['Africa', 'Southwest Asia']",Cairo,loose,Arabic,Afro-Asiatic,Abbasid Caliphate,continuity,Mamluk Sultanate - Bahri Dynasty,Islam,11000000,nominal allegiance,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Nowruz,not applicable,yearly,yearly,salat al jum a,weekly,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,,,,,,,,,EgAyyub,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",276.1156048740588,22.890156893293852,43.46401568399578,265.24793163679936,20.328842101090785,38.60057036909801,236.4666339267279,17.44854427094006,33.13143747289988,231.83333333333343,17.55487195025593,33.333333333333336,32.286363636363625,2.3938461750349007,4.545454545454546,43.705555555555534,3.291538490672989,6.25,207.5,13.166153962691956,25.0,41.8888888888889,3.291538490672989,6.25,207.5,16.457692453364945,31.25
EgAyyub+1300,226,"['Upper Egypt', 'Yemeni Coastal Plain']",Sultanate of Egypt,1300,1400,9000000.0,1500000.0,200000.0,5,7.0,4.0,5.0,2260,,1.0,1.0,1.0,1.0,0.0,0.0,governed population,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,50.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,0.1,1.0,1.0,1.0,,0.1,,1.0,1192.0,"['36R', '38P']","['Africa', 'Southwest Asia']",Cairo,unitary state,Arabic,Afro-Asiatic,Abbasid Caliphate,continuity,Mamluk Sultanate - Bahri Dynasty,Islam,11000000,nominal allegiance,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Nowruz,not applicable,yearly,yearly,salat al jum a,weekly,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,,,,,,,,,EgAyyub,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",289.75445531220316,22.15499778519608,48.679697566075276,277.5226631749179,19.675944285782368,43.23263881338978,247.41817892022385,16.888152470061364,37.10720996964787,242.16666666666674,16.99106524216379,37.333333333333336,33.84090909090908,2.316963442113245,5.090909090909091,45.59444444444443,3.1858247329057114,7.0,215.5,12.743298931622846,28.0,43.8888888888889,3.1858247329057114,7.0,217.5,15.929123664528555,35.0
EgBadar-4400,227,['Upper Egypt'],Badarian,-4400,-4300,,,25.0,1,1.0,1.0,1.0,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,1.0,0.1,1.0,0.1,1.0,0.1,0.1,0.1,,,,,1.0,0.1,1.0,1.0,0.1,0.1,,1.0,,0.1,0.1,0.0,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,0.1,0.1,0.1,0.1,,,,,0.1,0.1,0.1,-4200.0,['36R'],['Africa'],,,,,,,,,,none,,,,,,competitive feast,not applicable,,,,,,,competitive feast,not applicable,,,,,,,,,,,,3.0081325793356837,2.0563465643216774,,,,,,,,EgBadar,0.2222222222222222,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,0.0,0.012619991419216728,0.0,0.0,0.009027562943280372,0.0,0.0,0.0009027562943280373,0.0,0.0,0.002607962628058775,0.0,0.0,0.018055125886560747,0.0,0.0,0.0,0.0,0.0,0.009027562943280372,0.0
EgBadar-4300,228,['Upper Egypt'],Badarian,-4300,-4200,,,25.0,1,1.0,1.0,1.0,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,1.0,0.1,1.0,0.1,1.0,0.1,0.1,0.1,,,,,1.0,0.1,1.0,1.0,0.1,0.1,,1.0,,0.1,0.1,0.0,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,0.1,0.1,0.1,0.1,,,,,0.1,0.1,0.1,-4200.0,['36R'],['Africa'],,,,,,,,,,none,,,,,,competitive feast,not applicable,,,,,,,competitive feast,not applicable,,,,,,,,,,,,3.018862005914984,2.0372040823743647,,,,,,,,EgBadar,0.2222222222222222,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,1.3979400086720375,0.024998832906033167,0.0,1.0,0.017882622108927704,0.0,0.1,0.001788262210892771,0.0,0.2888888888888889,0.005166090831468006,0.0,2.0,0.035765244217855416,0.0,0.0,0.0,0.0,1.0,0.017882622108927704,0.0
EgBadar-4200,229,['Upper Egypt'],Badarian,-4200,-4100,,,25.0,1,1.0,1.0,1.0,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,1.0,0.1,1.0,0.1,1.0,0.1,0.1,0.1,,,,,1.0,0.1,1.0,1.0,0.1,0.1,,1.0,,0.1,0.1,0.0,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,0.1,0.1,0.1,0.1,,,,,0.1,0.1,0.1,-4200.0,['36R'],['Africa'],,,,,,,,,,none,,,,,,competitive feast,not applicable,,,,,,,competitive feast,not applicable,,,,,,,,,,,,3.0357831526544765,2.031584973698774,,,,,,,,EgBadar,0.2222222222222222,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,2.7958800173440754,0.012619991419216728,0.0,2.0,0.009027562943280372,0.0,0.2,0.0009027562943280373,0.0,0.5777777777777778,0.002607962628058775,0.0,4.0,0.018055125886560747,0.0,0.0,0.0,0.0,2.0,0.009027562943280372,0.0
EgBadar-4100,230,['Upper Egypt'],Badarian,-4100,-4000,,,25.0,1,1.0,1.0,1.0,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,1.0,0.1,1.0,0.1,1.0,0.1,0.1,0.1,,,,,1.0,0.1,1.0,1.0,0.1,0.1,,1.0,,0.1,0.1,0.0,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,0.1,0.1,0.1,0.1,,,,,0.1,0.1,0.1,-4200.0,['36R'],['Africa'],,,,,,,,,,none,,,,,,competitive feast,not applicable,,,,,,,competitive feast,not applicable,,,,,,,,,,,,3.0496097135925644,2.019203841045144,,,,,,,,EgBadar,0.2222222222222222,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,4.1938200260161125,0.012619991419216728,0.0,3.0,0.009027562943280372,0.0,0.30000000000000004,0.0009027562943280373,0.0,0.8666666666666667,0.002607962628058775,0.0,6.0,0.018055125886560747,0.0,0.0,0.0,0.0,3.0,0.009027562943280372,0.0
EgBadar-4000,231,['Upper Egypt'],Badarian,-4000,-3900,,,25.0,1,1.0,1.0,1.0,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,1.0,0.1,1.0,0.1,1.0,0.1,0.1,0.1,,,,,1.0,0.1,1.0,1.0,0.1,0.1,,1.0,,0.1,0.1,0.0,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,0.1,0.1,0.1,0.1,,,,,0.1,0.1,0.1,-4200.0,['36R'],['Africa'],,,,,,,,,,none,,,,,,competitive feast,not applicable,,,,,,,competitive feast,not applicable,,,,,,,,,,,,3.063405691842065,2.0067559146400713,,,,,,,,EgBadar,0.2222222222222222,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,5.591760034688151,0.012740055724304672,0.0,4.0,0.00911344953665572,0.0,0.4,0.0009113449536655721,0.0,1.1555555555555557,0.00263277431058943,0.0,8.0,0.01822689907331144,0.0,0.0,0.0,0.0,4.0,0.00911344953665572,0.0
EgBadar-3900,232,['Upper Egypt'],Badarian,-3900,-3800,,,25.0,1,1.0,1.0,1.0,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,1.0,0.1,1.0,0.1,1.0,0.1,0.1,0.1,,,,,1.0,0.1,1.0,1.0,0.1,0.1,,1.0,,0.1,0.1,0.0,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,0.1,0.1,0.1,0.1,,,,,0.1,0.1,0.1,-4200.0,['36R'],['Africa'],,,,,,,,,,none,,,,,,competitive feast,not applicable,,,,,,,competitive feast,not applicable,,,,,,,,,,,,3.077262198329394,1.9944422504222405,,,,,,,,EgBadar,0.2222222222222222,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,6.989700043360188,0.012619991419216728,0.0,5.0,0.009027562943280372,0.0,0.5,0.0009027562943280373,0.0,1.4444444444444446,0.002607962628058775,0.0,10.0,0.018055125886560747,0.0,0.0,0.0,0.0,5.0,0.009027562943280372,0.0
EgBadar-3800,233,['Upper Egypt'],Badarian,-3800,-3700,,,25.0,1,1.0,1.0,1.0,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,1.0,0.1,1.0,0.1,1.0,0.1,0.1,0.1,,,,,1.0,0.1,1.0,1.0,0.1,0.1,,1.0,,0.1,0.1,0.0,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,1.0,0.1,0.1,0.1,0.1,,,,,0.1,0.1,0.1,-4200.0,['36R'],['Africa'],,,,,,,,,,none,,,,,,competitive feast,not applicable,,,,,,,competitive feast,not applicable,,,,,,,,,,,,2.7566132212930716,1.2063491866612281,,,,,,,,EgBadar,0.2222222222222222,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,10.086610056368244,1.4229388415780706,0.0,7.0,1.017882622108928,0.0,0.7,0.10178826221089278,0.0,2.1333333333333337,0.2940549797203569,0.0,14.0,2.035765244217856,0.0,0.0,0.0,0.0,9.0,1.017882622108928,0.0
