Temperoculture,NGA,Original_culture_name,Period_start,Period_end,Polity_population,Polity_territory,Population_of_the_largest_settlement,Military_levels,Religious_levels,Settlement_hierarchy,Occupational_complexity,Professional_lawyers,Professional_military_officers,Professional_priesthood,Professional_soldiers,Bureaucracy_examination_system,Bureaucracy_merit_promotion,Bureaucracy_source_of_support,Fulltime_bureaucrats,Courts,Formal_legal_code,Judges,Bridges,Burial_site,Canals,Ceremonial_site,Communal_buildings,Drinking_water_supply_systems,Enclosures,Entertainment_buildings,Food_storage_sites,Irrigation_systems,Knowledge/information_buildings,Markets,Mines_or_quarries,Monumental_building_height,Ports,Roads,Special_purpose_house,Special_purpose_sites,Specialized_government_buildings,Symbolic_buildings,Trading_emporia,Utilitarian_public_buildings,Calendar,Fiction,Geometrical_measurements,History,Lists_tables_and_classifications,Measurement_of_area,Measurement_of_time,Measurement_of_length,Measurement_of_volume,Measurement_of_weight,Mnemonic_devices,Nonphonetic_writing,Phonetic_alphabetic_writing,Philosophy,Practical_literature,Religious_literature,Sacred_texts,Scientific_literature,Script,Nonwritten_records,Written_records,Articles,Debt_and_credit_structures,Foreign_coins,Indigenous_coins,Paper_currency,Precious_metals,Tokens,Fastest_individual_communication,General_postal_service,Postal_stations,Couriers,Peak_date,UTM_zone,Region,Capital,Degree_of_centralization,Language,Linguistic_family,Preceding_(quasi)polity,Relationship_to_preceding_(quasi)polity,Succeeding_(quasi)polity,Supracultural_entity,Scale_of_supracultural_interaction,Suprapolity_relations,Supernatural_enforcement_of_fairness,Supernatural_enforcement_of_human_reciprocity,Supernatural_enforcement_of_ingroup_loyalty,Name_of_official_cult,Largest_scale_ritual_name,Largest_scale_collective_ritual_of_the_official_cult_frequency_for_the_audience,Largest_scale_ritual_frequency_for_ritual_specialist,Largest_scale_ritual_frequency_per_participant,Most_dysphoric_ritual_name,Most_dysphoric_ritual_frequency_for_audience,Most_dysphoric_ritual_frequency_for_ritual_specialist,Most_dysphoric_ritual_frequency_per_participant,Most_euphoric_ritual_name,Most_euphoric_ritual_frequency_for_audience,Most_euphoric_ritual_frequency_for_ritual_specialist,Most_euphoric_ritual_frequency_per_participant,Most_frequent_ritual_name,Most_frequent_ritual_frequency_for_audience,Most_frequent_ritual_frequency_for_ritual_specialist,Most_frequent_ritual_frequency_per_participant,Most_widespread_ritual_name,Most_widespread_ritual_frequency_for_audience,Most_widespread_ritual_frequency_for_ritual_specialist,Most_widespread_ritual_frequency_per_participant,Name_of_other_significant_religious_or_ideological_systems,CC_PolPop,CC_PolTerr,CC_CapPop,CC_Hier,CC_Govt,CC_Infra,CC_Writing,CC_Texts,CC_Money,Percent_CCs_imputed,CCs_imputed,CC_PolPop_Regression_x0
Hawaii3-900,['Big Island Hawaii'],Hawai’i,-900,-800,37500.0,7000.0,,3.0,2.0,2.0,,0.1,0.0,1.0,1.0,0.1,0.1,,0.0,0.1,0.0,0.0,0.1,,0.1,,,0.1,,1.0,1.0,1.0,0.1,0.1,,,0.1,1.0,,,0.1,1.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1,0.1,0.1,0.1,0.1,1.0,,0.1,0.1,0.0,,"['4Q', '5Q']",['Oceania-Australia'],,quasipolity,Hawaiian,Austronesian,,,,,,,,,,Hawaiian Religion,kapu Makahiki sensu stricto,not applicable,yearly,yearly,hono,,yearly,yearly,kapu Makahiki sensu stricto,not applicable,yearly,yearly,,,,,daily offering,not applicable,not applicable,daily,,4.574031267727719,3.845098040014257,,2.333333333333333,0.2272727272727273,0.38888888888888895,2.0,0.0,2.0,0.1111111111111111,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",36.59225014182175
IcelandCommonwealth+1000,['Iceland'],Icelandic Commonwealth,1000,1100,10000.0,103000.0,200.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,,1.0,,,1.0,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,0.0,0.0,0.0,1149.0,['27W'],['Europe'],none,nominal,Old Norse,Germanic,Early Settlers,continuity,Kingdom of Norway,Norden,3425804,none,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.012837224705172,2.3010299956639813,2.0,0.09090909090909093,0.0,4.0,0.3333333333333333,4.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
IcelandCommonwealth+1100,['Iceland'],Icelandic Commonwealth,1100,1200,31000.0,103000.0,200.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,0.0,0.0,0.0,1149.0,['27W'],['Europe'],none,nominal,Old Norse,Germanic,Early Settlers,continuity,Kingdom of Norway,Norden,3425804,none,,,,,,,,,,,,,,,,,,,,,,,,,,4.491361693834273,5.012837224705172,2.3010299956639813,2.0,0.18181818181818185,0.0,4.0,0.8888888888888888,4.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",8.0
IcelandCommonwealth+1200,['Iceland'],Icelandic Commonwealth,1200,1300,31000.0,103000.0,200.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,0.0,0.0,0.0,1149.0,['27W'],['Europe'],none,nominal,Old Norse,Germanic,Early Settlers,continuity,Kingdom of Norway,Norden,3425804,none,,,,,,,,,,,,,,,,,,,,,,,,,,4.491361693834273,5.012837224705172,2.3010299956639813,2.0,0.18181818181818185,0.0,4.0,0.8888888888888888,4.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",16.982723387668546
IcelandCommonwealth+1300,['Iceland'],Icelandic Commonwealth,1300,1400,31000.0,103000.0,200.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,0.0,0.0,0.0,1149.0,['27W'],['Europe'],none,nominal,Old Norse,Germanic,Early Settlers,continuity,Kingdom of Norway,Norden,3425804,none,,,,,,,,,,,,,,,,,,,,,,,,,,4.491361693834273,5.012837224705172,2.3010299956639813,2.0,0.18181818181818185,0.0,4.0,0.8888888888888888,4.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",25.965446775337092
IdBrokE+1700,['Kapuasi Basin'],Iban,1700,1800,500.0,,500.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,['49N'],['Southeast Asia'],none,quasi-polity,Iban,Malayo-Polynesian,Iban Communities,continuity,White Rajahs,South-East Asia,4500000,none,1.0,1.0,1.0,Iban Religion,The rites of manggol,not applicable,yearly,yearly,Funerary ritual,once per generation,yearly,once per generation,Mandi rumah,once per generation,once per generation,once per generation,Piring,daily,,daily,Piring,daily,,daily,,2.6989700043360187,,2.6989700043360187,1.3333333333333333,0.0,0.011111111111111113,2.0,0.0,1.0,0.1111111111111111,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0
IdBrokE+1800,['Kapuasi Basin'],Iban,1800,1900,500.0,,500.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,['49N'],['Southeast Asia'],none,quasi-polity,Iban,Malayo-Polynesian,Iban Communities,continuity,White Rajahs,South-East Asia,4500000,none,1.0,1.0,1.0,Iban Religion,The rites of manggol,not applicable,yearly,yearly,Funerary ritual,once per generation,yearly,once per generation,Mandi rumah,once per generation,once per generation,once per generation,Piring,daily,,daily,Piring,daily,,daily,,2.6989700043360187,,2.6989700043360187,1.3333333333333333,0.0,0.011111111111111113,2.0,0.0,1.0,0.1111111111111111,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",5.3979400086720375
IdBrokE+1900,['Kapuasi Basin'],Iban,1900,2000,500.0,,500.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,['49N'],['Southeast Asia'],none,quasi-polity,Iban,Malayo-Polynesian,Iban Communities,continuity,White Rajahs,South-East Asia,4500000,none,1.0,1.0,1.0,Iban Religion,The rites of manggol,not applicable,yearly,yearly,Funerary ritual,once per generation,yearly,once per generation,Mandi rumah,once per generation,once per generation,once per generation,Piring,daily,,daily,Piring,daily,,daily,,2.6989700043360187,,2.6989700043360187,1.3333333333333333,0.0,0.011111111111111113,2.0,0.0,1.0,0.1111111111111111,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",10.795880017344075
IdBrokL+1900,['Kapuasi Basin'],Iban,1900,2000,,124450.0,500.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,state salary,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1922.0,['49N'],['Southeast Asia'],Kuching,loose,Iban,Malayo-Polynesian,Sultanate of Brunei,elite migration,Indonesia,South-East Asia,4500000,none,1.0,1.0,1.0,Iban Religion,The rites of manggol,not applicable,yearly,yearly,Funerary ritual,once per generation,yearly,once per generation,Mandi rumah,once per generation,once per generation,once per generation,Piring,daily,,daily,Piring,daily,,daily,,,5.094994900944612,2.6989700043360187,1.3333333333333333,0.0,0.1111111111111111,2.0,0.0,6.0,0.1111111111111111,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",
IdBrokL+2000,['Kapuasi Basin'],Iban,2000,2100,439000.0,124450.0,500.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,state salary,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1922.0,['49N'],['Southeast Asia'],Kuching,loose,Iban,Malayo-Polynesian,Sultanate of Brunei,elite migration,Indonesia,South-East Asia,4500000,none,1.0,1.0,1.0,Iban Religion,The rites of manggol,not applicable,yearly,yearly,Funerary ritual,once per generation,yearly,once per generation,Mandi rumah,once per generation,once per generation,once per generation,Piring,daily,,daily,Piring,daily,,daily,,5.642464520242123,5.094994900944612,2.6989700043360187,1.3333333333333333,0.2727272727272727,0.1111111111111111,4.0,0.2222222222222222,6.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",21.836284546258234
IdCJBun+0,['Central Java'],Buni Culture,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,99.0,['49M'],['Southeast Asia'],,,,,,,Kalingga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,4.0,,,0.7777777777777778,"[1, 1, 1, 1, 1, 0, 0, 1, 1]",
IdCJBun+100,['Central Java'],Buni Culture,100,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,99.0,['49M'],['Southeast Asia'],,,,,,,Kalingga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,4.0,,,0.7777777777777778,"[1, 1, 1, 1, 1, 0, 0, 1, 1]",
IdCJBun+200,['Central Java'],Buni Culture,200,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,99.0,['49M'],['Southeast Asia'],,,,,,,Kalingga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,4.0,,,0.7777777777777778,"[1, 1, 1, 1, 1, 0, 0, 1, 1]",
IdCJBun+300,['Central Java'],Buni Culture,300,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,99.0,['49M'],['Southeast Asia'],,,,,,,Kalingga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,4.0,,,0.7777777777777778,"[1, 1, 1, 1, 1, 0, 0, 1, 1]",
IdCJBun+400,['Central Java'],Buni Culture,400,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,99.0,['49M'],['Southeast Asia'],,,,,,,Kalingga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,4.0,,,0.7777777777777778,"[1, 1, 1, 1, 1, 0, 0, 1, 1]",
IdCJBun+500,['Central Java'],Buni Culture,500,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,99.0,['49M'],['Southeast Asia'],,,,,,,Kalingga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,4.0,,,0.7777777777777778,"[1, 1, 1, 1, 1, 0, 0, 1, 1]",
IdCJBun-100,['Central Java'],Buni Culture,-100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,99.0,['49M'],['Southeast Asia'],,,,,,,Kalingga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,4.0,,,0.7777777777777778,"[1, 1, 1, 1, 1, 0, 0, 1, 1]",
IdCJBun-200,['Central Java'],Buni Culture,-200,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,99.0,['49M'],['Southeast Asia'],,,,,,,Kalingga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,4.0,,,0.7777777777777778,"[1, 1, 1, 1, 1, 0, 0, 1, 1]",
IdCJBun-300,['Central Java'],Buni Culture,-300,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,99.0,['49M'],['Southeast Asia'],,,,,,,Kalingga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,4.0,,,0.7777777777777778,"[1, 1, 1, 1, 1, 0, 0, 1, 1]",
IdCJBun-400,['Central Java'],Buni Culture,-400,-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,99.0,['49M'],['Southeast Asia'],,,,,,,Kalingga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,4.0,,,0.7777777777777778,"[1, 1, 1, 1, 1, 0, 0, 1, 1]",
IdDemak+1600,['Central Java'],Demak Sultanate,1600,1700,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,['49M'],['Southeast Asia'],Bintara,,Javanese,Austronesian,Majapahit Empire,cultural assimilation,Mataram Sultanate,,,,1.0,1.0,1.0,,,,,,Ramadan,not applicable,yearly,yearly,Slametan (ceremonial meals),,,,Salat,not applicable,daily,daily,Life giving (amrta) and death rituals (sraddah),,,,,,,,,0.4545454545454545,0.1111111111111111,4.0,0.1111111111111111,,0.5555555555555556,"[1, 1, 1, 1, 0, 0, 0, 0, 1]",
IdKahur+1100,['Central Java'],Kahuripan Kingdom,1100,1200,,175000.0,,,5.0,4.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,,1034.0,['49M'],['Southeast Asia'],Pangjalu,loose,Sanskrit,Austronesian,Medang Kingdom,elite migration,Kediri Kingdom,,,,1.0,1.0,,Hinduism,temple founding ceremony,,,,,,,,temple founding ceremony,,,,puja,not applicable,daily,daily,temple founding ceremony,,,,Buddhism,,5.2430380486862935,,4.5,0.5454545454545454,0.5555555555555556,4.0,0.3333333333333333,5.0,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",
IdKalin+500,['Central Java'],Kalingga Kingdom,500,600,,,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,0.0,1.0,,,,,,1.0,,1.0,1.0,,,0.1,0.1,,,,,,,,['49M'],['Southeast Asia'],,,Sanskrit,Indo-European,,,Medang Kingdom,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.09090909090909093,0.3333333333333333,4.0,,1.0,0.4444444444444444,"[1, 1, 1, 0, 0, 0, 0, 1, 0]",
IdKalin+600,['Central Java'],Kalingga Kingdom,600,700,,,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,0.0,1.0,,,,,,1.0,,1.0,1.0,,,0.1,0.1,,,,,,,,['49M'],['Southeast Asia'],,,Sanskrit,Indo-European,,,Medang Kingdom,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.09090909090909093,0.3333333333333333,4.0,,1.0,0.4444444444444444,"[1, 1, 1, 0, 0, 0, 0, 1, 0]",
IdKalin+700,['Central Java'],Kalingga Kingdom,700,800,,,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,0.0,1.0,,,,,,1.0,,1.0,1.0,,,1.0,0.1,,,,,,,,['49M'],['Southeast Asia'],,,Sanskrit,Indo-European,,,Medang Kingdom,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.09090909090909093,0.3333333333333333,4.0,,5.0,0.4444444444444444,"[1, 1, 1, 0, 0, 0, 0, 1, 0]",
IdKalin+800,['Central Java'],Kalingga Kingdom,800,900,,,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,0.0,1.0,,,,,,1.0,,1.0,1.0,,,1.0,0.1,,,,,,,,['49M'],['Southeast Asia'],,,Sanskrit,Indo-European,,,Medang Kingdom,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.09090909090909093,0.3333333333333333,4.0,,5.0,0.4444444444444444,"[1, 1, 1, 0, 0, 0, 0, 1, 0]",
IdKedir+1100,['Central Java'],Kediri Kingdom,1100,1200,200000.0,50000.0,,5.0,3.0,3.0,,,1.0,1.0,1.0,0.1,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.1,1.0,,1.0,1.0,1.0,1.0,1.0,4.6,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,0.1,,,,,,1.0,,['49M'],['Southeast Asia'],Kediri,nominal,Old Javanese,Austronesian,Kahuripan Kingdom,continuity,Singhasari Kingdom,,,,1.0,1.0,,Hinduism,temple founding ceremony,,,,,,,,temple founding ceremony,,,,puja,not applicable,daily,daily,temple founding ceremony,,,,Buddhism,5.301029995663981,4.698970004336019,,3.6666666666666665,0.6454545454545454,0.7888888888888889,4.0,0.6666666666666666,5.0,0.1111111111111111,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",21.59176003468815
IdKedir+1200,['Central Java'],Kediri Kingdom,1200,1300,250000.0,50000.0,,5.0,3.0,3.0,,,1.0,1.0,1.0,0.1,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.1,1.0,,1.0,1.0,1.0,1.0,1.0,4.6,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,0.1,,,,,,1.0,,['49M'],['Southeast Asia'],Kediri,nominal,Old Javanese,Austronesian,Kahuripan Kingdom,continuity,Singhasari Kingdom,,,,1.0,1.0,,Hinduism,temple founding ceremony,,,,,,,,temple founding ceremony,,,,puja,not applicable,daily,daily,temple founding ceremony,,,,Buddhism,5.3979400086720375,4.698970004336019,,3.6666666666666665,0.6454545454545454,0.7888888888888889,4.0,0.6666666666666666,5.0,0.1111111111111111,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",26.89279003035213
IdKedir+1300,['Central Java'],Kediri Kingdom,1300,1400,250000.0,50000.0,,5.0,3.0,3.0,,,1.0,1.0,1.0,0.1,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.1,1.0,,1.0,1.0,1.0,1.0,1.0,4.6,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,0.1,,,,,,1.0,,['49M'],['Southeast Asia'],Kediri,nominal,Old Javanese,Austronesian,Kahuripan Kingdom,continuity,Singhasari Kingdom,,,,1.0,1.0,,Hinduism,temple founding ceremony,,,,,,,,temple founding ceremony,,,,puja,not applicable,daily,daily,temple founding ceremony,,,,Buddhism,5.3979400086720375,4.698970004336019,,3.6666666666666665,0.6454545454545454,0.7888888888888889,4.0,0.6666666666666666,5.0,0.1111111111111111,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",32.29073003902417
IdMajap+1300,['Central Java'],Majapahit Kingdom,1300,1400,5000000.0,500000.0,100000.0,5.0,3.0,3.0,,1.0,1.0,1.0,1.0,0.1,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,0.0,0.1,1.0,,,,,1.0,1388.0,['49M'],['Southeast Asia'],Trowulan,loose,Sanskrit,Austronesian,Singhasari Kingdom,elite migration,Demak Sultanate,,,,1.0,1.0,,Hinduism,temple founding ceremony,,,,,,,,temple founding ceremony,,,,puja,not applicable,daily,daily,temple founding ceremony,,,,Buddhism,6.698970004336019,5.698970004336019,5.0,3.6666666666666665,0.8272727272727273,1.0,4.0,0.7777777777777778,4.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",37.688670047696206
IdMajap+1400,['Central Java'],Majapahit Kingdom,1400,1500,5000000.0,500000.0,100000.0,5.0,3.0,3.0,,1.0,1.0,1.0,1.0,0.1,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,0.0,0.1,1.0,,,,,1.0,1388.0,['49M'],['Southeast Asia'],Trowulan,loose,Sanskrit,Austronesian,Singhasari Kingdom,elite migration,Demak Sultanate,,,,1.0,1.0,,Hinduism,temple founding ceremony,,,,,,,,temple founding ceremony,,,,puja,not applicable,daily,daily,temple founding ceremony,,,,Buddhism,6.698970004336019,5.698970004336019,5.0,3.6666666666666665,0.8272727272727273,1.0,4.0,0.7777777777777778,4.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",44.387640052032225
