Temperoculture,NGA,Original_culture_name,Period_start,Period_end,Polity_population,Polity_territory,Population_of_the_largest_settlement,Administrative_levels,Military_levels,Religious_levels,Settlement_hierarchy,Largest_communication_distance,Occupational_complexity,Professional_lawyers,Professional_military_officers,Professional_priesthood,Professional_soldiers,Bureaucracy_examination_system,Bureaucracy_merit_promotion,Bureaucracy_source_of_support,Fulltime_bureaucrats,Courts,Formal_legal_code,Judges,Bridges,Burial_site,Canals,Ceremonial_site,Communal_buildings,Drinking_water_supply_systems,Enclosures,Entertainment_buildings,Food_storage_sites,Irrigation_systems,Knowledge/information_buildings,Markets,Mines_or_quarries,Monumental_building_cost,Monumental_building_extent,Monumental_building_height,Ports,Roads,Special_purpose_house,Special_purpose_sites,Specialized_government_buildings,Symbolic_buildings,Trading_emporia,Utilitarian_public_buildings,Other_polity-owned_site,Calendar,Fiction,Geometrical_measurements,History,Lists_tables_and_classifications,Measurement_of_area,Measurement_of_time,Measurement_of_length,Measurement_of_volume,Measurement_of_weight,Mnemonic_devices,Nonphonetic_writing,Phonetic_alphabetic_writing,Philosophy,Practical_literature,Religious_literature,Sacred_texts,Scientific_literature,Script,Nonwritten_records,Written_records,Articles,Debt_and_credit_structures,Foreign_coins,Indigenous_coins,Paper_currency,Precious_metals,Store_of_wealth,Tokens,Fastest_individual_communication,General_postal_service,Postal_stations,Couriers,Peak_date,UTM_zone,Region,Capital,Degree_of_centralization,Language,Linguistic_family,Preceding_(quasi)polity,Relationship_to_preceding_(quasi)polity,Succeeding_(quasi)polity,Supracultural_entity,Scale_of_supracultural_interaction,Suprapolity_relations,High_gods_(creator_gods),Supernatural_enforcement_of_fairness,Supernatural_enforcement_of_human_reciprocity,Supernatural_enforcement_of_ingroup_loyalty,Name_of_official_cult,Largest_scale_ritual_name,Largest_scale_collective_ritual_of_the_official_cult_frequency_for_the_audience,Largest_scale_ritual_frequency_for_ritual_specialist,Largest_scale_ritual_frequency_per_participant,Most_dysphoric_ritual_name,Most_dysphoric_ritual_frequency_for_audience,Most_dysphoric_ritual_frequency_for_ritual_specialist,Most_dysphoric_ritual_frequency_per_participant,Most_euphoric_ritual_name,Most_euphoric_ritual_frequency_for_audience,Most_euphoric_ritual_frequency_for_ritual_specialist,Most_euphoric_ritual_frequency_per_participant,Most_frequent_ritual_name,Most_frequent_ritual_frequency_for_audience,Most_frequent_ritual_frequency_for_ritual_specialist,Most_frequent_ritual_frequency_per_participant,Most_widespread_ritual_name,Most_widespread_ritual_frequency_for_audience,Most_widespread_ritual_frequency_for_ritual_specialist,Most_widespread_ritual_frequency_per_participant,Name_of_other_significant_religious_or_ideological_systems,CC_PolPop,CC_PolTerr,CC_CapPop,CC_Hier,CC_Govt,CC_Infra,CC_Writing,CC_Texts,CC_Money,BasePolity,Percent_CCs_imputed,CCs_imputed
AfGrBct-200,"['Kachi Plain', 'Sogdiana']",Greco-Bactrian Kingdom,-200,-100,1500000,600000,25000,5,5,1,3,600,,,1,1,1,0.1,0.1,land,1,,1,,1,1,0.1,1,1,1,1,1,1,1,1,1,1,,,35,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,0.1,,1,-180,"['42R', '42S']","['South Asia', 'Central Eurasia']",Bactra,unitary state,Bactrian,Indo-European,Seleucid Empire,continuity,Sakas,Greek,4500000,alliance,moralizing,0,1,,,civic festival,,,,,,,,civic festival,,,,Yasna,daily,daily,daily,Yasna,daily,daily,daily,,6.17609125905568,5.77815125038364,4.39794000867204,3,0.563636363636364,0.9,4,1,5,AfGrBct,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
AfGrBct-100,"['Kachi Plain', 'Sogdiana']",Greco-Bactrian Kingdom,-100,0,1500000,2200000,25000,4,5,1,3,600,,,1,1,1,0.1,0.1,land,1,,1,,1,1,0.1,1,1,1,1,1,1,1,1,1,1,,,35,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,0.1,,1,-180,"['42R', '42S']","['South Asia', 'Central Eurasia']",Bactra,unitary state,Bactrian,Indo-European,Seleucid Empire,continuity,Sakas,Greek,4500000,alliance,moralizing,0,1,,,civic festival,,,,,,,,civic festival,,,,Yasna,daily,daily,daily,Yasna,daily,daily,daily,,6.17609125905568,6.34242268082221,4.39794000867204,3,0.563636363636364,0.9,4,1,5,AfGrBct,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
AfKushn+100,"['Kachi Plain', 'Sogdiana']",Kushan Empire,100,200,12500000,2000000,150000,4,4,2,4,1000,,,1,1,1,0.1,0,governed population,1,,1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,,0,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,0,,1,228,"['42R', '42S']","['South Asia', 'Central Eurasia']",Purushapura,confederated state,Kharoshthi,Indo-European,Tocharians,continuity,Sassanid Empire - First Period,Greco-Persian,4000000,vassalage,inactive,0.5,1,0.1,,Nowruz,not applicable,yearly,yearly,,,,,Nowruz,not applicable,yearly,yearly,,,,,,,,,,7.09691001300806,6.30102999566398,5.17609125905568,3.33333333333333,0.645454545454545,0.9,4,0.777777777777778,5,AfKushn,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
AfKushn+200,"['Kachi Plain', 'Sogdiana']",Kushan Empire,200,300,12500000,2000000,100000,4,4,2,4,1000,,,1,1,1,0.1,0,governed population,1,,1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,,0,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,0,,1,228,"['42R', '42S']","['South Asia', 'Central Eurasia']",Purushapura,confederated state,Kharoshthi,Indo-European,Tocharians,continuity,Sassanid Empire - First Period,Greco-Persian,4000000,vassalage,inactive,0.5,1,0.1,,Nowruz,not applicable,yearly,yearly,,,,,Nowruz,not applicable,yearly,yearly,,,,,,,,,,7.09691001300806,6.30102999566398,5,3.33333333333333,0.645454545454545,0.9,4,0.777777777777778,5,AfKushn,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
AfKushn+300,"['Kachi Plain', 'Sogdiana']",Kushan Empire,300,400,12500000,2000000,100000,4,4,2,4,1000,,,1,1,1,0.1,0,governed population,1,,1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,,0,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,0,,1,228,"['42R', '42S']","['South Asia', 'Central Eurasia']",Purushapura,confederated state,Kharoshthi,Indo-European,Tocharians,continuity,Sassanid Empire - First Period,Greco-Persian,4000000,vassalage,inactive,0.5,1,0.1,,Nowruz,not applicable,yearly,yearly,,,,,Nowruz,not applicable,yearly,yearly,,,,,,,,,,7.09691001300806,6.30102999566398,5,3.33333333333333,0.645454545454545,0.9,4,0.777777777777778,5,AfKushn,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
AfKushn+400,"['Kachi Plain', 'Sogdiana']",Kushan Empire,400,500,12500000,2000000,100000,4,4,2,4,1000,,,1,1,1,0.1,0,governed population,1,,1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,,0,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,0,,1,228,"['42R', '42S']","['South Asia', 'Central Eurasia']",Purushapura,confederated state,Kharoshthi,Indo-European,Tocharians,continuity,Sassanid Empire - First Period,Greco-Persian,4000000,vassalage,inactive,0.5,1,0.1,,Nowruz,not applicable,yearly,yearly,,,,,Nowruz,not applicable,yearly,yearly,,,,,,,,,,7.09691001300806,6.30102999566398,5,3.33333333333333,0.645454545454545,0.9,4,0.777777777777778,5,AfKushn,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ashanti+1900,['Ghanaian Coast'],Asantemanso,1900,2000,3000000,259000,22500,6,6,4,4,370,1,0,1,1,0,0,0,state salary,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,,,,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0.1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,20,0,0,1,1811,['30N'],['Africa'],Kumasi,confederated state,Twi,Kwa,Asantemanso Kingdom,continuity,British Empire Gold Coast Colony,West Africa,5112903,none,,,,,,Yam Festival,yearly,yearly,yearly,Exorcism,yearly,yearly,once per generation,Healing ritual in ecstatic churches,yearly,yearly,yearly,Monocot Ceremony,monthly,monthly,monthly,Apo festival,yearly,yearly,yearly,,6.47712125471966,5.41329976408125,4.35218251811136,4.66666666666667,0.454545454545454,0.333333333333333,4,0.444444444444444,3,Ashanti,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
BrookeRaj+2000,['Kapuasi Basin'],Iban,2000,2100,439000,124450,500,3,2,1,1,,0,0,0,0,0,1,1,state salary,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,0,0,1,1,1,0,0,1,0,1,0,0,0,,,1,1,1,1,1,0,0,0,0,0,0,0,0,,0,1,1,1,0,1,0,1,0,,0,0,0,1922,['49N'],['Southeast Asia'],Kuching,loose,Iban,Malayo-Polynesian,Sultanate of Brunei,elite migration,Indonesia,South-East Asia,4500000,vassalage,,,,,,The rites of manggol,yearly,yearly,yearly,Funerary ritual,once per generation,annually,once per generation,Mandi rumah,once per generation,once per generation,once per generation,Piring,daily,,daily,Piring Food Offerings,daily,daily,daily,,5.64246452024212,5.09499490094461,2.69897000433602,1.33333333333333,0.636363636363636,0.111111111111111,1,0.111111111111111,6,BrookeRaj,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnEHan+200,['Middle Yellow River Valley'],Eastern Han,200,300,48000000,2500000,100000,7,7,1,6,,,1,1,0.1,1,1,0,state salary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.1,1,1,1,1,1,0,0.1,1,0,1,1,,,1,1,1,87,['50S'],['East Asia'],Luoyang,confederated state,Chinese,Sino-Tibetan,Xin Dynasty,continuity,Wei Dynasty,Chinese,3000000,alliance,moralizing,,1,,,imperial sacrifice at the capital,yearly,yearly,yearly,blood covenant,not applicable,,,Lunar New Year,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,Registration of Households,not applicalbe,yearly,yearly,,7.68124123737559,6.39794000867204,5,4.66666666666667,0.827272727272727,1,4,0.888888888888889,5,CnEHan,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnEHan+300,['Middle Yellow River Valley'],Eastern Han,300,400,48000000,2500000,100000,7,7,1,6,,,1,1,0.1,1,1,0,state salary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.1,1,1,1,1,1,0,0.1,1,0,1,1,,,1,1,1,87,['50S'],['East Asia'],Luoyang,confederated state,Chinese,Sino-Tibetan,Xin Dynasty,continuity,Wei Dynasty,Chinese,3000000,alliance,moralizing,,1,,,imperial sacrifice at the capital,yearly,yearly,yearly,blood covenant,not applicable,,,Lunar New Year,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,Registration of Households,not applicalbe,yearly,yearly,,7.68124123737559,6.39794000867204,5,4.66666666666667,0.827272727272727,1,4,0.888888888888889,5,CnEHan,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnErJin+300,['Middle Yellow River Valley'],Western Jin,300,400,16163863,4500000,600000,8,6,1,6,1400,,1,0.1,0.1,,1,1,state salary,1,1,1,1,1,1,1,1,1,,1,,1,1,,1,1,,,,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,0.1,1,1,,,,1,1,289,['50S'],['East Asia'],Changan,unitary state,Chinese,Sinitic,Wei,continuity,Northern Wei,Chinese,3000000,none,,,,,,imperial sacrifice at the capital,yearly,yearly,yearly,blood covenant,not applicable,,,Lunar New Year,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,7.20854516083791,6.65321251377534,5.77815125038364,4.33333333333333,0.745454545454545,0.888888888888889,4,1,5,CnErJin,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnErJin+400,['Middle Yellow River Valley'],Western Jin,400,500,16163863,4500000,600000,8,6,1,6,1400,,1,0.1,0.1,,1,1,state salary,1,1,1,1,1,1,1,1,1,,1,,1,1,,1,1,,,,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,0.1,1,1,,,,1,1,289,['50S'],['East Asia'],Changan,unitary state,Chinese,Sinitic,Wei,continuity,Northern Wei,Chinese,3000000,none,,,,,,imperial sacrifice at the capital,yearly,yearly,yearly,blood covenant,not applicable,,,Lunar New Year,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,7.20854516083791,6.65321251377534,5.77815125038364,4.33333333333333,0.745454545454545,0.888888888888889,4,1,5,CnErJin,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnErlig-1600,['Middle Yellow River Valley'],Erligang,-1600,-1500,2000000,350000,500000,3,3,2,4,450,,0.1,,1,1,0.1,,,1,0.1,0,0.1,,0.1,,1,1,,,,1,1,,,1,15365,1870,9,,1,1,1,,1,,1,,1,,,,1,1,1,1,1,1,,,,,,1,,,1,1,0.1,1,,0,0,0,,,1,,0.1,0.1,1,-1475,['50S'],['East Asia'],Zhengzhou,confederated state,archaic Chinese,Sino-Tibetan,Erlitou,continuity,Late Shang,,,alliance,,,,,,elite feast,,,,,,,,elite feast,,,,common oracle-bone divination,,,,common oracle-bone divination,,,,,6.30102999566398,5.54406804435028,5.69897000433602,3,0.309090909090909,0.444444444444444,3,0.333333333333333,2,CnErlig,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnErlig-1500,['Middle Yellow River Valley'],Erligang,-1500,-1400,2000000,350000,500000,3,3,2,4,450,,0.1,,1,1,0.1,,,1,0.1,0,0.1,,0.1,,1,1,,,,1,1,,,1,15365,1870,9,,1,1,1,,1,,1,,1,,,,1,1,1,1,1,1,,,,,,1,,,1,1,0.1,1,,0,0,0,,,1,,0.1,0.1,1,-1475,['50S'],['East Asia'],Zhengzhou,confederated state,archaic Chinese,Sino-Tibetan,Erlitou,continuity,Late Shang,,,alliance,,,,,,elite feast,,,,,,,,elite feast,,,,common oracle-bone divination,,,,common oracle-bone divination,,,,,6.30102999566398,5.54406804435028,5.69897000433602,3,0.309090909090909,0.444444444444444,3,0.333333333333333,2,CnErlig,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnErlig-1400,['Middle Yellow River Valley'],Erligang,-1400,-1300,2000000,350000,500000,3,3,2,4,450,,0.1,,1,1,0.1,,,1,0.1,0,0.1,,0.1,,1,1,,,,1,1,,,1,15365,1870,9,,1,1,1,,1,,1,,1,,,,1,1,1,1,1,1,,,,,,1,,,1,1,0.1,1,,0,0,0,,,1,,0.1,0.1,1,-1475,['50S'],['East Asia'],Zhengzhou,confederated state,archaic Chinese,Sino-Tibetan,Erlitou,continuity,Late Shang,,,alliance,,,,,,elite feast,,,,,,,,elite feast,,,,common oracle-bone divination,,,,common oracle-bone divination,,,,,6.30102999566398,5.54406804435028,5.69897000433602,3,0.309090909090909,0.444444444444444,3,0.333333333333333,2,CnErlig,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnErlig-1300,['Middle Yellow River Valley'],Erligang,-1300,-1200,2000000,350000,500000,3,3,2,4,450,,0.1,,1,1,0.1,,,1,0.1,0,0.1,,0.1,,1,1,,,,1,1,,,1,15365,1870,9,,1,1,1,,1,,1,,1,,,,1,1,1,1,1,1,,,,,,1,,,1,1,0.1,1,,0,0,0,,,1,,0.1,0.1,1,-1475,['50S'],['East Asia'],Huanbei,confederated state,archaic Chinese,Sino-Tibetan,Erlitou,continuity,Late Shang,,,alliance,,,,,,elite feast,,,,,,,,elite feast,,,,common oracle-bone divination,,,,common oracle-bone divination,,,,,6.30102999566398,5.54406804435028,5.69897000433602,3,0.309090909090909,0.444444444444444,3,0.333333333333333,2,CnErlig,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnErlig-1200,['Middle Yellow River Valley'],Erligang,-1200,-1100,2000000,350000,500000,3,3,2,4,450,,0.1,,1,1,0.1,,,1,0.1,0,0.1,,0.1,,1,1,,,,1,1,,,1,15365,1870,9,,1,1,1,,1,,1,,1,,,,1,1,1,1,1,1,,,,,,1,,,1,1,0.1,1,,0,0,0,,,1,,0.1,0.1,1,-1475,['50S'],['East Asia'],Huanbei,confederated state,archaic Chinese,Sino-Tibetan,Erlitou,continuity,Late Shang,,,alliance,,,,,,elite feast,,,,,,,,elite feast,,,,common oracle-bone divination,,,,common oracle-bone divination,,,,,6.30102999566398,5.54406804435028,5.69897000433602,3,0.309090909090909,0.444444444444444,3,0.333333333333333,2,CnErlig,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnImQin-200,['Middle Yellow River Valley'],Imperial Qin,-200,-100,40000000,2433000,200000,7,6,,5,1100,,,1,0.1,1,1,1,state salary,1,1,1,1,1,,1,,1,1,,0,1,1,1,1,1,9000000,2500000,5,,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,,1,0,1,0,1,,1,,1,1,1,-215,['50S'],['East Asia'],Xianyang,unitary state,Chinese,Sino-Tibetan,State of Qin,continuity,Western Han,China,3000000,none,moralizing,,1,,,royal progress,once in a generation,yearly,yearly,blood covenant,not applicable,,,feast,not applicable,,,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,7.60205999132796,6.38614210893082,5.30102999566398,5.5,0.827272727272727,0.888888888888889,4,0.888888888888889,5,CnImQin,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnImQin-100,['Middle Yellow River Valley'],Imperial Qin,-100,0,40000000,2433000,200000,7,6,,5,1100,,,1,0.1,1,1,1,state salary,1,1,1,1,1,,1,,1,1,,0,1,1,1,1,1,9000000,2500000,5,,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,,1,0,1,0,1,,1,,1,1,1,-215,['50S'],['East Asia'],Xianyang,unitary state,Chinese,Sino-Tibetan,State of Qin,continuity,Western Han,China,3000000,none,moralizing,,1,,,royal progress,once in a generation,yearly,yearly,blood covenant,not applicable,,,feast,not applicable,,,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,7.60205999132796,6.38614210893082,5.30102999566398,5.5,0.827272727272727,0.888888888888889,4,0.888888888888889,5,CnImQin,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnMing+1400,['Middle Yellow River Valley'],Ming,1400,1500,60545800,3900000,150000,5,7,3,7,2800,,1,0,1,0,1,1,state salary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1500000,961,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,0,147,0,1,1,1464,['50S'],['East Asia'],Beijing,unitary state,Chinese,Sino-Tibetan,Yuan,cultural assimilation,Late Ming,China,4000000,alliance,,1,1,0.1,,,,,,,,,,,,,,,,,,,,,,,7.78208402196151,6.5910646070265,5.17609125905568,5.66666666666667,0.818181818181818,1,4,1,6,CnMing,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnMing+1500,['Middle Yellow River Valley'],Ming,1500,1600,50908700,3900000,672000,5,7,3,7,2800,,1,0,1,0,1,1,state salary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1500000,961,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,0,147,0,1,1,1464,['50S'],['East Asia'],Beijing,unitary state,Chinese,Sino-Tibetan,Yuan,cultural assimilation,Late Ming,China,4000000,alliance,,1,1,0.1,,,,,,,,,,,,,,,,,,,,,,,7.70679200707397,6.5910646070265,5.82736927305383,5.66666666666667,0.818181818181818,1,4,1,6,CnMing,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnMing+1600,['Middle Yellow River Valley'],Ming,1600,1700,90000000,3655000,706000,5,7,3,7,2800,,1,0,1,1,1,1,state salary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1500000,961,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,0,147,0,1,1,1464,['50S'],['East Asia'],Beijing,unitary state,Chinese,Sino-Tibetan,Yuan,cultural assimilation,Late Ming,China,4000000,alliance,,1,1,0.1,,,,,,,,,,,,,,,,,,,,,,,7.95424250943933,6.56288738129388,5.8488047010518,5.66666666666667,0.909090909090909,1,4,1,6,CnMing,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnMing+1700,['Middle Yellow River Valley'],Ming,1700,1800,90000000,3655000,706000,5,7,3,7,2800,,1,0,1,1,1,1,state salary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1500000,961,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,0,147,0,1,1,1464,['50S'],['East Asia'],Beijing,unitary state,Chinese,Sino-Tibetan,Yuan,cultural assimilation,Late Ming,China,4000000,alliance,,1,1,0.1,,,,,,,,,,,,,,,,,,,,,,,7.95424250943933,6.56288738129388,5.8488047010518,5.66666666666667,0.909090909090909,1,4,1,6,CnMing,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnNSong+1000,['Middle Yellow River Valley'],Northern Song,1000,1100,60000000,3033000,500000,7,8,2,6,1300,,1,1,1,1,1,1,state salary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1049,['50S'],['East Asia'],Kaifeng,unitary state,Chinese,Sino-Tibetan,Five Dynasties,cultural assimilation,Later Jin,China,2000000,none,,1,1,0.1,,imperial sacrifice at the capital,yearly,yearly,yearly,palace exams,not applicable,yearly,yearly,New Year celebrations,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,ancestor rites,not applicable,monthly,monthly,,7.77815125038364,6.48187241031066,5.69897000433602,5.33333333333333,1,1,4,1,6,CnNSong,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnNSong+1100,['Middle Yellow River Valley'],Northern Song,1100,1200,60000000,2367000,1000000,7,8,2,6,1300,,1,1,1,1,1,1,state salary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1049,['50S'],['East Asia'],Kaifeng,unitary state,Chinese,Sino-Tibetan,Five Dynasties,cultural assimilation,Later Jin,China,2000000,none,,1,1,0.1,,imperial sacrifice at the capital,yearly,yearly,yearly,palace exams,not applicable,yearly,yearly,New Year celebrations,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,ancestor rites,not applicable,monthly,monthly,,7.77815125038364,6.37419825792908,6,5.33333333333333,1,1,4,1,6,CnNSong,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnNSong+1200,['Middle Yellow River Valley'],Northern Song,1200,1300,60000000,2367000,1000000,7,8,2,6,1300,,1,1,1,1,1,1,state salary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1049,['50S'],['East Asia'],Kaifeng,unitary state,Chinese,Sino-Tibetan,Five Dynasties,cultural assimilation,Later Jin,China,2000000,none,,1,1,0.1,,imperial sacrifice at the capital,yearly,yearly,yearly,palace exams,not applicable,yearly,yearly,New Year celebrations,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,ancestor rites,not applicable,monthly,monthly,,7.77815125038364,6.37419825792908,6,5.33333333333333,1,1,4,1,6,CnNSong,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnNWei+500,['Middle Yellow River Valley'],Northern Wei,500,600,32000000,1773000,600000,6,5,2,5,1700,1,,1,0.1,0.1,0,0.1,land,1,1,1,1,1,,,1,1,,1,,1,1,1,1,1,,,20,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,,0.1,1,1,438,['50S'],['East Asia'],Luoyang,unitary state,Xianbei,Sino-Tibetan,Dai,continuity,Western Wei,Xianbei,2400000,alliance,,1,1,0.1,,imperial sacrifice at the capital,yearly,yearly,yearly,blood covenant,not applicable,,,New Year celebrations,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,7.50514997831991,6.24870873560092,5.77815125038364,4,0.572727272727273,0.777777777777778,4,0.888888888888889,5,CnNWei,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
CnNWei+600,['Middle Yellow River Valley'],Northern Wei,600,700,32000000,1773000,600000,6,5,2,5,1700,1,,1,0.1,0.1,0,0.1,land,1,1,1,1,1,,,1,1,,1,,1,1,1,1,1,,,20,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,,0.1,1,1,438,['50S'],['East Asia'],Luoyang,unitary state,Xianbei,Sino-Tibetan,Dai,continuity,Western Wei,Xianbei,2400000,alliance,,1,1,0.1,,imperial sacrifice at the capital,yearly,yearly,yearly,blood covenant,not applicable,,,New Year celebrations,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,7.50514997831991,6.24870873560092,5.77815125038364,4,0.572727272727273,0.777777777777778,4,0.888888888888889,5,CnNWei,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
