Temperoculture,NGA,Original_culture_name,Period_start,Period_end,Polity_population,Polity_territory,Population_of_the_largest_settlement,Administrative_levels,Military_levels,Religious_levels,Settlement_hierarchy,Largest_communication_distance,Occupational_complexity,Professional_lawyers,Professional_military_officers,Professional_priesthood,Professional_soldiers,Bureaucracy_examination_system,Bureaucracy_merit_promotion,Bureaucracy_source_of_support,Fulltime_bureaucrats,Courts,Formal_legal_code,Judges,Bridges,Burial_site,Canals,Ceremonial_site,Communal_buildings,Drinking_water_supply_systems,Enclosures,Entertainment_buildings,Food_storage_sites,Irrigation_systems,Knowledge/information_buildings,Markets,Mines_or_quarries,Monumental_building_cost,Monumental_building_extent,Monumental_building_height,Ports,Roads,Special_purpose_house,Special_purpose_sites,Specialized_government_buildings,Symbolic_buildings,Trading_emporia,Utilitarian_public_buildings,Other_polity-owned_site,Calendar,Fiction,Geometrical_measurements,History,Lists_tables_and_classifications,Measurement_of_area,Measurement_of_time,Measurement_of_length,Measurement_of_volume,Measurement_of_weight,Mnemonic_devices,Nonphonetic_writing,Phonetic_alphabetic_writing,Philosophy,Practical_literature,Religious_literature,Sacred_texts,Scientific_literature,Script,Nonwritten_records,Written_records,Articles,Debt_and_credit_structures,Foreign_coins,Indigenous_coins,Paper_currency,Precious_metals,Store_of_wealth,Tokens,Fastest_individual_communication,General_postal_service,Postal_stations,Couriers,Peak_date,UTM_zone,Region,Capital,Degree_of_centralization,Language,Linguistic_family,Preceding_(quasi)polity,Relationship_to_preceding_(quasi)polity,Succeeding_(quasi)polity,Supracultural_entity,Scale_of_supracultural_interaction,Suprapolity_relations,High_gods_(creator_gods),Supernatural_enforcement_of_fairness,Supernatural_enforcement_of_human_reciprocity,Supernatural_enforcement_of_ingroup_loyalty,Name_of_official_cult,Largest_scale_ritual_name,Largest_scale_collective_ritual_of_the_official_cult_frequency_for_the_audience,Largest_scale_ritual_frequency_for_ritual_specialist,Largest_scale_ritual_frequency_per_participant,Most_dysphoric_ritual_name,Most_dysphoric_ritual_frequency_for_audience,Most_dysphoric_ritual_frequency_for_ritual_specialist,Most_dysphoric_ritual_frequency_per_participant,Most_euphoric_ritual_name,Most_euphoric_ritual_frequency_for_audience,Most_euphoric_ritual_frequency_for_ritual_specialist,Most_euphoric_ritual_frequency_per_participant,Most_frequent_ritual_name,Most_frequent_ritual_frequency_for_audience,Most_frequent_ritual_frequency_for_ritual_specialist,Most_frequent_ritual_frequency_per_participant,Most_widespread_ritual_name,Most_widespread_ritual_frequency_for_audience,Most_widespread_ritual_frequency_for_ritual_specialist,Most_widespread_ritual_frequency_per_participant,Name_of_other_significant_religious_or_ideological_systems,CC_PolPop,CC_PolTerr,CC_CapPop,CC_Hier,CC_Govt,CC_Infra,CC_Writing,CC_Texts,CC_Money,BasePolity,Percent_CCs_imputed,CCs_imputed
JpAshik+1500,['Kansai'],Muromachi (Ashikaga),1500,1600,17000000,295000,40000,6,5,1,6,,1,0,1,1,1,0,0,land,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,,12.5,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,,,0,1,1,1380,['53S'],['East Asia'],Kyoto,confederated state,Middle Japanese (12th–16th century),Japonic,Kamakura Shogunate,continuity,Warring States Period,Japanese,3900000,nominal allegiance,active,1,1,0.1,,matsuri,seasonally,seasonally,seasonally,enemy head preparation,not applicable,,,matsuri,seasonally,seasonally,seasonally,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.23044892137827,5.46982201597816,4.60205999132796,4,0.636363636363636,1,4,1,4,JpAshik,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
JpAshik+1600,['Kansai'],Muromachi (Ashikaga),1600,1700,17000000,295000,40000,6,5,1,6,,1,0,1,1,1,0,0,land,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,,12.5,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,,,0,1,1,1380,['53S'],['East Asia'],Kyoto,confederated state,Middle Japanese (12th–16th century),Japonic,Kamakura Shogunate,continuity,Warring States Period,Japanese,3900000,nominal allegiance,active,1,1,0.1,,matsuri,seasonally,seasonally,seasonally,enemy head preparation,not applicable,,,matsuri,seasonally,seasonally,seasonally,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.23044892137827,5.46982201597816,4.60205999132796,4,0.636363636363636,1,4,1,4,JpAshik,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
JpAzMom+1500,['Kansai'],Azuchi–Momoyama,1500,1600,17000000,295000,300000,4,5,2,5,,,0,1,1,1,0.1,0.1,state salary,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,42,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,,,0.1,1,1,,['53S'],['East Asia'],Kyoto,quasipolity,Middle Japanese (12th–16th century),Japonic,Warring States Period,continuity,Tokugawa Shogunate,Japanese,,none,active,1,1,0.1,,matsuri,seasonally,seasonally,seasonally,enemy head preparation,not applicable,,,matsuri,seasonally,seasonally,seasonally,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.23044892137827,5.46982201597816,5.47712125471966,4,0.654545454545455,1,4,1,4,JpAzMom,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
JpAzMom+1600,['Kansai'],Azuchi–Momoyama,1600,1700,22000000,295000,300000,4,5,2,5,,,0,1,1,1,0.1,0.1,state salary,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,42,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,0.1,1,1,,['53S'],['East Asia'],Kyoto,quasipolity,Middle Japanese (12th–16th century),Japonic,Warring States Period,continuity,Tokugawa Shogunate,Japanese,,none,active,1,1,0.1,,matsuri,seasonally,seasonally,seasonally,enemy head preparation,not applicable,,,matsuri,seasonally,seasonally,seasonally,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.34242268082221,5.46982201597816,5.47712125471966,4,0.654545454545455,1,4,1,5,JpAzMom,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
JpAzMom+1700,['Kansai'],Azuchi–Momoyama,1700,1800,22000000,295000,300000,4,5,2,5,,,0,1,1,1,0.1,0.1,state salary,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,42,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,0.1,1,1,,['53S'],['East Asia'],Kyoto,quasipolity,Middle Japanese (12th–16th century),Japonic,Warring States Period,continuity,Tokugawa Shogunate,Japanese,,none,active,1,1,0.1,,matsuri,seasonally,seasonally,seasonally,enemy head preparation,not applicable,,,matsuri,seasonally,seasonally,seasonally,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.34242268082221,5.46982201597816,5.47712125471966,4,0.654545454545455,1,4,1,5,JpAzMom,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
JpHeian+800,['Kansai'],Heian,800,900,4000000,300000,200000,5,4,1,4,,1,0,1,1,1,1,1,State salary,1,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,0,1,,,,0,1,1,861,['53S'],['East Asia'],Kyoto,unitary state,Middle Japanese,Japonic,Nara,continuity,Kamakura,Tang China,3243000,,active,1,1,0.1,,Aoi Matsuri,not applicable,yearly,yearly,koshin mahi,not applicable,not applicable,seasonally,Aoi Matsuri,not applicable,yearly,yearly,daily worship,not applicable,daily,daily,matsuri,not applicable,seasonally,seasonally,,6.60205999132796,5.47712125471966,5.30102999566398,3,0.818181818181818,0.888888888888889,4,1,5,JpHeian,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
JpHeian+900,['Kansai'],Heian,900,1000,4400000,300000,200000,5,4,1,4,,1,0,1,1,1,1,1,State salary,1,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,0,1,,,,0,1,1,861,['53S'],['East Asia'],Kyoto,unitary state,Middle Japanese,Japonic,Nara,continuity,Kamakura,Tang China,3243000,,active,1,1,0.1,,Aoi Matsuri,not applicable,yearly,yearly,koshin mahi,not applicable,not applicable,seasonally,Aoi Matsuri,not applicable,yearly,yearly,daily worship,not applicable,daily,daily,matsuri,not applicable,seasonally,seasonally,,6.64345267648619,5.47712125471966,5.30102999566398,3,0.818181818181818,0.888888888888889,4,1,5,JpHeian,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
JpHeian+1000,['Kansai'],Heian,1000,1100,4500000,300000,175000,5,4,1,4,,1,0,1,1,1,1,1,State salary,1,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,0,1,,,,0,1,1,861,['53S'],['East Asia'],Kyoto,unitary state,Middle Japanese,Japonic,Nara,continuity,Kamakura,Tang China,3243000,,active,1,1,0.1,,Aoi Matsuri,not applicable,yearly,yearly,koshin mahi,not applicable,not applicable,seasonally,Aoi Matsuri,not applicable,yearly,yearly,daily worship,not applicable,daily,daily,matsuri,not applicable,seasonally,seasonally,,6.65321251377534,5.47712125471966,5.24303804868629,3,0.818181818181818,0.888888888888889,4,1,5,JpHeian,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
JpHeian+1100,['Kansai'],Heian,1100,1200,5500000,300000,175000,5,4,1,4,,1,0,1,1,1,1,1,State salary,1,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,0,1,,,,0,1,1,861,['53S'],['East Asia'],Kyoto,unitary state,Middle Japanese,Japonic,Nara,continuity,Kamakura,Tang China,3243000,,active,1,1,0.1,,Aoi Matsuri,not applicable,yearly,yearly,koshin mahi,not applicable,not applicable,seasonally,Aoi Matsuri,not applicable,yearly,yearly,daily worship,not applicable,daily,daily,matsuri,not applicable,seasonally,seasonally,,6.74036268949424,5.47712125471966,5.24303804868629,3,0.818181818181818,0.888888888888889,4,1,5,JpHeian,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
JpHeian+1200,['Kansai'],Heian,1200,1300,5500000,300000,150000,5,4,1,4,,1,0,1,1,1,1,1,State salary,1,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,0,1,,,,0,1,1,861,['53S'],['East Asia'],Kyoto,unitary state,Middle Japanese,Japonic,Nara,continuity,Kamakura,Tang China,3243000,,active,1,1,0.1,,Aoi Matsuri,not applicable,yearly,yearly,koshin mahi,not applicable,not applicable,seasonally,Aoi Matsuri,not applicable,yearly,yearly,daily worship,not applicable,daily,daily,matsuri,not applicable,seasonally,seasonally,,6.74036268949424,5.47712125471966,5.17609125905568,3,0.818181818181818,0.888888888888889,4,1,5,JpHeian,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
JpKamak+1200,['Kansai'],Kamakura Shogunate,1200,1300,5500000,295000,100000,6,4,3,5,,,0,1,1,1,0.1,0,land,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,0,0,1,1,,,0,1,1,1224,['53S'],['East Asia'],Kyoto,confederated state,Middle Japanese,Japonic,Heian,continuity,Kenmu Restoration,none,0,none,active,1,1,0.1,,matsuri,not applicable,seasonally,seasonally,enemy head preparation,not applicable,,,matsuri,not applicable,seasonally,seasonally,daily worship,not applicable,daily,daily,matsuri,not applicable,seasonally,seasonally,,6.74036268949424,5.46982201597816,5,4,0.736363636363636,0.888888888888889,4,1,4,JpKamak,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
JpKamak+1300,['Kansai'],Kamakura Shogunate,1300,1400,5700000,295000,100000,6,4,3,5,,,0,1,1,1,0.1,0,land,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,0,1,1,0,0,1,1,,,0,1,1,1224,['53S'],['East Asia'],Kyoto,confederated state,Middle Japanese,Japonic,Heian,continuity,Kenmu Restoration,none,0,none,active,1,1,0.1,,matsuri,not applicable,seasonally,seasonally,enemy head preparation,not applicable,,,matsuri,not applicable,seasonally,seasonally,daily worship,not applicable,daily,daily,matsuri,not applicable,seasonally,seasonally,,6.75587485567249,5.46982201597816,5,4,0.736363636363636,0.888888888888889,4,1,4,JpKamak,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
JpKamak+1400,['Kansai'],Kamakura Shogunate,1400,1500,5700000,295000,100000,6,4,3,5,,,0,1,1,1,0.1,0,land,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,0,1,1,0,0,1,1,,,0,1,1,1224,['53S'],['East Asia'],Kyoto,confederated state,Middle Japanese,Japonic,Heian,continuity,Kenmu Restoration,none,0,none,active,1,1,0.1,,matsuri,not applicable,seasonally,seasonally,enemy head preparation,not applicable,,,matsuri,not applicable,seasonally,seasonally,daily worship,not applicable,daily,daily,matsuri,not applicable,seasonally,seasonally,,6.75587485567249,5.46982201597816,5,4,0.736363636363636,0.888888888888889,4,1,4,JpKamak,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
